Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualFixedOperatingCost,TotalTechnologyAnnualActivity,NewCapacity,AnnualTechnologyEmission,Demand,CapitalInvestment,CapitalInvestmentStorage,AnnualVariableOperatingCost,TotalCapacityAnnual
Scenario1,0,RE1,,TRAEVSCHG001,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2032,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2038,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG001,,2047,,,,,,,,,,,,0.0,,,,,,
